#,Platform,Language,Title,URL,Content,Full Content,Author,Date,Source Site,Query,Backend
1,twitter,en,Qassim University (@quedusa1) / Posts / X,https://x.com/quedusa1,"Qassim University has 17 colleges and graduates over 10,000 students annually. It offers educational and research programs across various fields.",,,2025-06-30 00:00:00,x.com,Qassim University,searxng
2,twitter,en,جامعة القصيم,https://twitter.com/QassimUniv1,JavaScript is not available · We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using twitter.com. You can see a list of supported browsers in our Help Center · Help Center · Terms of Service Privacy Policy ...,,,,twitter.com,Qassim University,searxng
3,twitter,en,PEM fellowship | Qassim (@Qassim_PEM) / Posts / X,https://x.com/Qassim_PEM,"📊 589 📎 PEM fellowship | Qassim Qassim_PEM Mar 30 Simulation #2 Continuing our journey with the 2nd Simulation of the year Another step in strengthening hands-on learning, teamwork, and ER care skills. Moments where skills grow, confidence builds, and future PEM leaders are shaped. 💪 Led by Dr. @cirujano7 & @abadi9313 💬 0",,,,x.com,Qassim University,searxng
4,twitter,en,جامعة القصيم (@QassimUniv1) / Posts / X,https://x.com/QassimUniv1,جامعة القصيم (@QassimUniv1) - Posts - ريادة وطنية في التعليم والبحث والاستدامة، وشراكة فاعلة وطنياً وعالمياً | X (formerly Twitter),,,,x.com,Qassim University,searxng
5,twitter,en,جامعة القصيم (@QassimUniv1) / X,https://x.com/qassimuniv1?lang=en,Click to Follow QassimUniv1 · جامعة القصيم · @QassimUniv1 · ريادة وطنية في التعليم والبحث والاستدامة، وشراكة فاعلة وطنياً وعالمياًTranslate bio · السعودية - ...,,,2011-09-11 00:00:00,x.com,Qassim University,searxng
6,twitter,en,QASSIM (@vqassim) / Posts / X,https://x.com/vqassim,QASSIM (@vqassim) - Posts - BH | X (formerly Twitter) بفضل الله ثم دعمكم.. تم ترشيحي للانتقال الى مرحلة ما قبل النهائي لجائزة افضل ستريمر صاعد للاتحاد السعودي للرياضات الالكترونية، والترشح للنهائي ما زال قائم، سواء ترشحنا ولا لا هذي فرصه ...,,,,x.com,Qassim University,searxng
7,twitter,en,"جامعة القصيم on X: ""Qassim University signed a service contract with Virginia Commonwealth University in #USA, for the benefits of Teaching Assistance and lecturer in college of Pharmacy to get admission on the following programs: ( doctor of pharmacy , residency, fellowship). : #Qu #جامعة_القصيم https://t.co/IrI0Mfswfn"" / X",https://x.com/qassimuniv1/status/1013862555872382977?lang=en,"Qassim University signed a service contract with Virginia Commonwealth University in #USA, for the benefits of Teaching Assistance and lecturer in college of Pharmacy to get admission on the following programs: ( doctor of pharmacy , residency, fellowship).",,,,x.com,Qassim University,searxng
8,twitter,en,X - Official Site,https://x.com/,"From breaking news and entertainment to sports and politics, get the full story with all the live commentary.",,,,x.com,Qassim University,searxng
9,twitter,en,"جامعة القصيم on X: ""Qassim university driving school On 55 thousand squer meter ,and simulators cars with high international standards which can accommodate 200 trainee supervised by qualified saudi staff. https://t.co/SqDR4u3tZQ"" / X",https://x.com/qassimuniv1/status/1108774178394697732?lang=en,"Qassim university driving school On 55 thousand squer meter ,and simulators cars with high international standards which can accommodate 200 trainee supervised by qualified saudi staff.",,,,x.com,Qassim University,searxng
10,twitter,en,QASSIM (@Qassim_official) / Posts / X - Twitter,https://x.com/Qassim_official,QASSIM (@Qassim_official) - Posts - | X (formerly Twitter) من منظور ضيق ان اسرائيل ستنتهز هذي الفرصه لتأجيج فتيل الحرب بالعراق واقصاء الد اعداءها سيد مقتدى الصدر ونشوب حرب طاحنه داخل المكون الشيعي . #مقتدي_الصدر_خط_احمر,,,,x.com,Qassim University,searxng
